time,Glucose,Hexokinase,Complex_G_H
1494.0,1e-06,3.00313904112e-06,1.34429907021e-15
1495.0,1e-06,3.00314114332e-06,1.34519866749e-15
1496.0,1e-06,3.00314324552e-06,1.3460982645e-15
1497.0,1e-06,3.00314534772e-06,1.34699786124e-15
1498.0,1e-06,3.00314744992e-06,1.34789745772e-15
1499.0,1e-06,3.00314955212e-06,1.34879705392e-15
1500.0,1e-06,3.00315165433e-06,1.34969664985e-15
1501.0,1e-06,3.00315375654e-06,1.35059624552e-15
1502.0,1e-06,3.00315585874e-06,1.35149584091e-15
1503.0,1e-06,3.00315796095e-06,1.35239543604e-15
1504.0,1e-06,3.00316006317e-06,1.3532950309e-15
1505.0,1e-06,3.00316216538e-06,1.35419462549e-15
1506.0,1e-06,3.00316426759e-06,1.35509421981e-15
1507.0,1e-06,3.00316636981e-06,1.35599381386e-15
1508.0,1e-06,3.00316847203e-06,1.35689340764e-15
1509.0,1e-06,3.00317057424e-06,1.35779300116e-15
1510.0,1e-06,3.00317267646e-06,1.3586925944e-15
1511.0,1e-06,3.00317477869e-06,1.35959218738e-15
1512.0,1e-06,3.00317688091e-06,1.36049178009e-15
1513.0,1e-06,3.00317898313e-06,1.36139137252e-15
1514.0,1e-06,3.00318108536e-06,1.36229096469e-15
1515.0,1e-06,3.00318318759e-06,1.36319055659e-15
1516.0,1e-06,3.00318528982e-06,1.36409014822e-15
1517.0,1e-06,3.00318739205e-06,1.36498973959e-15
1518.0,1e-06,3.00318949428e-06,1.36588933068e-15
1519.0,1e-06,3.00319159651e-06,1.3667889215e-15
1520.0,1e-06,3.00319369875e-06,1.36768851206e-15
1521.0,1e-06,3.00319580098e-06,1.36858810235e-15
1522.0,1e-06,3.00319790322e-06,1.36948769236e-15
1523.0,1e-06,3.00320000546e-06,1.37038728211e-15
1524.0,1e-06,3.0032021077e-06,1.37128687159e-15
1525.0,1e-06,3.00320420994e-06,1.3721864608e-15
1526.0,1e-06,3.00320631219e-06,1.37308604975e-15
1527.0,1e-06,3.00320841443e-06,1.37398563842e-15
1528.0,1e-06,3.00321051668e-06,1.37488522682e-15
1529.0,1e-06,3.00321261893e-06,1.37578481496e-15
1530.0,1e-06,3.00321472118e-06,1.37668440282e-15
1531.0,1e-06,3.00321682343e-06,1.37758399042e-15
1532.0,1e-06,3.00321892568e-06,1.37848357775e-15
1533.0,1e-06,3.00322102793e-06,1.37938316481e-15
